,header,hsp_score,query_coverage,E_value,max_identity
30,MJ006-2-barcode58-umi107490bins-ubs-4,400,94.7867298578199,2.3483939534514345e-115,99.75
2,RS-GCF-902387545.1-NZ-LR699004.1,394,94.7867298578199,1.598149906025906e-113,99.0
1,RS-GCF-016888505.1-NZ-JAFEKH010000002.1--3,394,94.7867298578199,1.5991958156502684e-113,99.0
28,RS-GCF-013293875.1-NZ-JAAKAY010000136.1,384,94.7867298578199,1.5979490913780283e-110,98.0
20,MJ006-2-barcode56-umi119354bins-ubs-3,366,94.7867298578199,4.20015803518004e-105,95.75
19,MJ006-2-barcode56-umi117754bins-ubs-4,362,94.7867298578199,6.720252856288064e-104,95.25
21,MJ030-1-barcode27-umi100044bins-ubs-4,360,94.7867298578199,2.6881011425152256e-103,95.0
27,MJ030-2-barcode67-umi95193bins-ubs-4,358,94.7867298578199,1.0738029697641035e-102,94.75
25,MJ030-2-barcode67-umi81336bins-ubs-6,356,94.7867298578199,4.300961828024361e-102,94.5
17,MJ030-1-barcode27-umi104992bins-ubs-3,356,94.7867298578199,4.3038368025083345e-102,94.5
